sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor
91.189.89.199,192.168.2.100,123,47975,17,8,608,,2019/12/28T18:59:45.284,0.000,2019/12/28T18:59:45.284,local
192.168.2.100,224.0.0.251,0,0,2,8,256,,2019/12/28T18:58:35.316,0.000,2019/12/28T18:58:35.316,local
192.168.2.100,91.189.89.199,47975,123,17,8,608,,2019/12/28T18:59:45.184,0.000,2019/12/28T18:59:45.184,local
192.168.2.100,224.0.0.251,0,0,2,8,256,,2019/12/28T18:59:59.572,0.000,2019/12/28T18:59:59.572,local
192.168.2.11,192.168.2.100,50844,22,6,688,49472,PA,2019/12/28T18:57:34.256,10.064,2019/12/28T18:57:44.320,local
192.168.2.100,192.168.2.11,22,50844,6,232,21824,PA,2019/12/28T18:57:34.880,9.440,2019/12/28T18:57:44.320,local
192.168.2.100,192.168.2.200,3000,37396,6,32,2888,FSPA,2019/12/28T18:58:08.804,0.084,2019/12/28T18:58:08.888,local
192.168.2.200,192.168.2.100,37396,3000,6,48,3320,FSPA,2019/12/28T18:58:08.804,0.084,2019/12/28T18:58:08.888,local
192.168.2.200,192.168.2.100,37398,3000,6,48,3336,FSPA,2019/12/28T18:58:17.820,0.076,2019/12/28T18:58:17.896,local
192.168.2.100,192.168.2.200,3000,37398,6,32,2888,FSPA,2019/12/28T18:58:17.820,0.076,2019/12/28T18:58:17.896,local
192.168.2.200,192.168.2.100,37400,3000,6,40,4544,FSPA,2019/12/28T18:59:50.892,0.144,2019/12/28T18:59:51.036,local
192.168.2.100,192.168.2.200,3000,37400,6,40,3208,FSPA,2019/12/28T18:59:50.896,0.140,2019/12/28T18:59:51.036,local
192.168.2.200,192.168.2.100,37402,3000,6,40,3984,FSPA,2019/12/28T18:59:51.036,0.128,2019/12/28T18:59:51.164,local
192.168.2.100,192.168.2.200,3000,37402,6,40,3208,FSPA,2019/12/28T18:59:51.036,0.128,2019/12/28T18:59:51.164,local
192.168.2.100,192.168.2.200,3000,37404,6,40,3208,FSPA,2019/12/28T18:59:51.164,0.132,2019/12/28T18:59:51.296,local
192.168.2.200,192.168.2.100,37404,3000,6,40,3904,FSPA,2019/12/28T18:59:51.164,0.132,2019/12/28T18:59:51.296,local
192.168.2.200,192.168.2.100,37406,3000,6,40,5032,FSPA,2019/12/28T18:59:51.296,0.148,2019/12/28T18:59:51.444,local
